Date,Currency,Duration,con_Bid,con_Ask
19/01/2015,RON,1,0.04,0.54
16/01/2015,RON,1,0.04,0.54
15/01/2015,RON,1,0.04,0.54
14/01/2015,RON,1,0.04,0.54
13/01/2015,RON,1,0.04,0.54
12/1/2015,RON,1,0.04,0.54
9/1/2015,RON,1,0.03,0.53
8/1/2015,RON,1,0.03,0.53
7/1/2015,RON,1,0.05,0.55
6/1/2015,RON,1,0.05,0.55
5/1/2015,RON,1,0.05,0.55
31/12/2014,RON,1,0.05,0.55
30/12/2014,RON,1,0.1,0.6
29/12/2014,RON,1,0.15,0.65
24/12/2014,RON,1,0.25,0.75
23/12/2014,RON,1,0.05,0.55
22/12/2014,RON,1,0.05,0.55
19/12/2014,RON,1,0.05,0.55
18/12/2014,RON,1,0.05,0.55
17/12/2014,RON,1,0.06,0.56
16/12/2014,RON,1,0.05,0.55
15/12/2014,RON,1,0.05,0.55
12/12/2014,RON,1,0.05,0.55
20/02/2017,RON,30,0.22,0.57
17/02/2017,RON,30,0.22,0.57
16/02/2017,RON,30,0.21,0.56
15/02/2017,RON,30,0.21,0.56
14/02/2017,RON,30,0.2,0.55
13/02/2017,RON,30,0.2,0.55
10/2/2017,RON,30,0.2,0.55
9/2/2017,RON,30,0.2,0.55
8/2/2017,RON,30,0.22,0.57
7/2/2017,RON,30,0.22,0.57
6/2/2017,RON,30,0.22,0.57
3/2/2017,RON,30,0.24,0.59
2/2/2017,RON,30,0.25,0.6
1/2/2017,RON,30,0.25,0.6
31/01/2017,RON,30,0.23,0.58
30/01/2017,RON,30,0.23,0.58
27/01/2017,RON,30,0.23,0.58
26/01/2017,RON,30,0.23,0.58
25/01/2017,RON,30,0.23,0.58
23/01/2017,RON,30,0.24,0.59
20/01/2017,RON,30,0.23,0.58
19/01/2017,RON,30,0.23,0.58
18/01/2017,RON,30,0.23,0.58
17/01/2017,RON,30,0.23,0.58
16/01/2017,RON,30,0.23,0.58
13/01/2017,RON,30,0.23,0.58
12/1/2017,RON,30,0.2,0.55
11/1/2017,RON,30,0.2,0.55
10/1/2017,RON,30,0.2,0.55
9/1/2017,RON,30,0.2,0.55
6/1/2017,RON,30,0.2,0.55
5/1/2017,RON,30,0.2,0.58
4/1/2017,RON,30,0.25,0.63
3/1/2017,RON,30,0.32,0.7
30/12/2016,RON,30,0.35,0.73
29/12/2016,RON,30,0.35,0.73
28/12/2016,RON,30,0.34,0.72
27/12/2016,RON,30,0.35,0.73
23/12/2016,RON,30,0.34,0.7
22/12/2016,RON,30,0.3,0.65
21/12/2016,RON,30,0.3,0.65
20/12/2016,RON,30,0.25,0.6
19/12/2016,RON,30,0.24,0.59
16/12/2016,RON,30,0.24,0.59
15/12/2016,RON,30,0.2,0.55
14/12/2016,RON,30,0.2,0.55
13/12/2016,RON,30,0.2,0.55
12/12/2016,RON,30,0.2,0.55
9/12/2016,RON,30,0.2,0.55
8/12/2016,RON,30,0.2,0.55
7/12/2016,RON,30,0.23,0.58
6/12/2016,RON,30,0.25,0.6
5/12/2016,RON,30,0.27,0.62
2/12/2016,RON,30,0.3,0.65
29/11/2016,RON,30,0.3,0.65
28/11/2016,RON,30,0.3,0.65
25/11/2016,RON,30,0.3,0.65
24/11/2016,RON,30,0.3,0.65
23/11/2016,RON,30,0.33,0.68
22/11/2016,RON,30,0.33,0.68
21/11/2016,RON,30,0.33,0.68
18/11/2016,RON,30,0.31,0.66
17/11/2016,RON,30,0.31,0.66
16/11/2016,RON,30,0.31,0.66
15/11/2016,RON,30,0.3,0.65
14/11/2016,RON,30,0.3,0.65
11/11/2016,RON,30,0.27,0.62
10/11/2016,RON,30,0.27,0.62
9/11/2016,RON,30,0.27,0.62
8/11/2016,RON,30,0.27,0.62
7/11/2016,RON,30,0.27,0.62
4/11/2016,RON,30,0.27,0.62
3/11/2016,RON,30,0.27,0.62
2/11/2016,RON,30,0.27,0.62
1/11/2016,RON,30,0.28,0.63
31/10/2016,RON,30,0.28,0.63
28/10/2016,RON,30,0.28,0.63
27/10/2016,RON,30,0.25,0.6
26/10/2016,RON,30,0.25,0.6
25/10/2016,RON,30,0.23,0.58
